data_size,AVLtree,array
12,0.000003,0.000003
20,0.000003,0.000001
30,0.000003,0.000002
40,0.000005,0.000002
50,0.000003,0.000002
60,0.000002,0.000001
70,0.000005,0.000002
80,0.000003,0.000002
90,0.000002,0.000003
100,0.000006,0.000003
110,0.000003,0.000002
120,0.000002,0.000002
130,0.000005,0.000003
140,0.000003,0.000002
150,0.000002,0.000002
160,0.000006,0.000002
170,0.000003,0.000003
180,0.000004,0.000004
190,0.000002,0.000005
200,0.000005,0.000002
210,0.000006,0.000004
220,0.000006,0.000003
230,0.000003,0.000004
240,0.000002,0.000005
250,0.000005,0.000003
260,0.000005,0.000004
270,0.000003,0.000005
280,0.000006,0.000003
290,0.000006,0.000004
300,0.000005,0.000005
310,0.000003,0.000004
320,0.000006,0.000004
330,0.000003,0.000004
340,0.000003,0.000005
350,0.000004,0.000005
360,0.000003,0.000004
370,0.000006,0.000004
380,0.000003,0.000005
390,0.000003,0.000005
400,0.000003,0.000004
410,0.000003,0.000005
420,0.000006,0.000006
430,0.000005,0.000006
440,0.000003,0.000005
450,0.000005,0.000006
460,0.000001,0.000006
470,0.000006,0.000005
480,0.000006,0.000006
490,0.000006,0.000007
500,0.000003,0.000008
510,0.000003,0.000007
520,0.000003,0.000006
530,0.000003,0.000008
540,0.000003,0.000006
550,0.000003,0.000007
560,0.000003,0.000005
570,0.000003,0.000008
580,0.000003,0.000005
590,0.000003,0.000007
600,0.000004,0.000010
610,0.000005,0.000008
620,0.000003,0.000008
630,0.000006,0.000007
640,0.000002,0.000007
650,0.000003,0.000008
660,0.000004,0.000010
670,0.000004,0.000008
680,0.000004,0.000009
690,0.000004,0.000007
700,0.000008,0.000012
710,0.000007,0.000008
720,0.000007,0.000009
730,0.000006,0.000011
740,0.000002,0.000009
750,0.000006,0.000008
760,0.000003,0.000010
770,0.000002,0.000011
780,0.000003,0.000011
790,0.000006,0.000009
800,0.000005,0.000006
810,0.000002,0.000009
820,0.000002,0.000008
830,0.000006,0.000008
840,0.000002,0.000006
850,0.000005,0.000011
860,0.000003,0.000009
870,0.000006,0.000009
880,0.000003,0.000010
890,0.000003,0.000010
900,0.000006,0.000010
910,0.000005,0.000010
920,0.000006,0.000011
930,0.000003,0.000011
940,0.000001,0.000011
950,0.000005,0.000009
960,0.000002,0.000011
970,0.000006,0.000011
980,0.000005,0.000010
990,0.000003,0.000007
1000,0.000003,0.000012
1010,0.000003,0.000008
1020,0.000006,0.000015
1030,0.000002,0.000010
1040,0.000005,0.000012
1050,0.000002,0.000004
1060,0.000006,0.000012
1070,0.000004,0.000012
1080,0.000003,0.000011
1090,0.000003,0.000013
1100,0.000003,0.000012
1110,0.000003,0.000011
1120,0.000003,0.000003
1130,0.000003,0.000013
1140,0.000002,0.000011
1150,0.000006,0.000014
1160,0.000004,0.000015
1170,0.000001,0.000013
1180,0.000003,0.000015
1190,0.000006,0.000014
1200,0.000003,0.000011
1210,0.000003,0.000014
1220,0.000002,0.000014
1230,0.000002,0.000013
1240,0.000003,0.000016
1250,0.000005,0.000014
1260,0.000003,0.000014
1270,0.000011,0.000010
1280,0.000005,0.000016
1290,0.000005,0.000014
1300,0.000006,0.000016
1310,0.000007,0.000013
1320,0.000006,0.000016
1330,0.000006,0.000018
1340,0.000003,0.000013
1350,0.000006,0.000014
1360,0.000003,0.000016
1370,0.000003,0.000014
1380,0.000003,0.000016
1390,0.000006,0.000016
1400,0.000006,0.000009
1410,0.000006,0.000017
1420,0.000002,0.000014
1430,0.000004,0.000015
1440,0.000006,0.000017
1450,0.000003,0.000017
1460,0.000003,0.000014
1470,0.000003,0.000019
1480,0.000003,0.000013
1490,0.000002,0.000020
1500,0.000006,0.000016
1510,0.000003,0.000018
1520,0.000006,0.000015
1530,0.000006,0.000008
1540,0.000005,0.000015
1550,0.000006,0.000016
1560,0.000005,0.000015
1570,0.000002,0.000017
1580,0.000003,0.000019
1590,0.000006,0.000018
1600,0.000002,0.000023
1610,0.000005,0.000017
1620,0.000006,0.000016
1630,0.000006,0.000020
1640,0.000002,0.000018
1650,0.000006,0.000019
1660,0.000006,0.000014
1670,0.000003,0.000016
1680,0.000003,0.000024
1690,0.000006,0.000014
1700,0.000006,0.000018
1710,0.000003,0.000014
1720,0.000003,0.000020
1730,0.000003,0.000017
1740,0.000003,0.000021
1750,0.000003,0.000020
1760,0.000005,0.000017
1770,0.000003,0.000027
1780,0.000006,0.000020
1790,0.000003,0.000019
1800,0.000003,0.000023
1810,0.000006,0.000020
1820,0.000003,0.000023
1830,0.000003,0.000022
1840,0.000003,0.000021
1850,0.000003,0.000022
1860,0.000003,0.000012
1870,0.000003,0.000010
1880,0.000006,0.000016
1890,0.000002,0.000020
1900,0.000005,0.000022
1910,0.000005,0.000019
1920,0.000005,0.000022
1930,0.000003,0.000022
1940,0.000005,0.000018
1950,0.000005,0.000023
1960,0.000006,0.000021
1970,0.000003,0.000021
1980,0.000007,0.000030
1990,0.000002,0.000022
2000,0.000006,0.000021
2010,0.000004,0.000020
2020,0.000006,0.000021
2030,0.000003,0.000022
2040,0.000003,0.000023
2050,0.000003,0.000020
2060,0.000006,0.000021
2070,0.000003,0.000022
2080,0.000006,0.000020
2090,0.000006,0.000031
2100,0.000006,0.000028
2110,0.000006,0.000038
2120,0.000003,0.000016
2130,0.000006,0.000024
2140,0.000006,0.000026
2150,0.000003,0.000026
2160,0.000005,0.000025
2170,0.000003,0.000021
2180,0.000003,0.000026
2190,0.000005,0.000020
2200,0.000006,0.000021
2210,0.000005,0.000024
2220,0.000006,0.000024
2230,0.000003,0.000022
2240,0.000006,0.000029
2250,0.000002,0.000023
2260,0.000003,0.000022
2270,0.000007,0.000023
2280,0.000006,0.000022
2290,0.000005,0.000025
2300,0.000007,0.000025
2310,0.000007,0.000027
2320,0.000007,0.000032
2330,0.000006,0.000024
2340,0.000005,0.000026
2350,0.000006,0.000026
2360,0.000006,0.000027
2370,0.000006,0.000028
2380,0.000006,0.000028
2390,0.000003,0.000020
2400,0.000003,0.000035
2410,0.000003,0.000042
2420,0.000003,0.000032
2430,0.000003,0.000030
2440,0.000004,0.000028
2450,0.000003,0.000029
2460,0.000004,0.000024
2470,0.000003,0.000026
2480,0.000007,0.000026
2490,0.000006,0.000028
2500,0.000006,0.000028
2510,0.000006,0.000029
2520,0.000005,0.000033
2530,0.000007,0.000027
2540,0.000005,0.000031
2550,0.000005,0.000030
2560,0.000005,0.000027
2570,0.000003,0.000030
2580,0.000006,0.000038
2590,0.000005,0.000030
2600,0.000006,0.000028
2610,0.000003,0.000026
2620,0.000003,0.000026
2630,0.000005,0.000031
2640,0.000003,0.000033
2650,0.000006,0.000036
2660,0.000005,0.000025
2670,0.000003,0.000030
2680,0.000005,0.000031
2690,0.000005,0.000027
2700,0.000004,0.000032
2710,0.000005,0.000027
2720,0.000002,0.000027
2730,0.000005,0.000025
2740,0.000004,0.000036
2750,0.000006,0.000027
2760,0.000006,0.000034
2770,0.000006,0.000032
2780,0.000006,0.000014
2790,0.000006,0.000037
2800,0.000006,0.000011
2810,0.000002,0.000043
2820,0.000003,0.000023
2830,0.000005,0.000031
2840,0.000003,0.000037
2850,0.000006,0.000029
2860,0.000006,0.000033
2870,0.000004,0.000029
2880,0.000007,0.000033
2890,0.000006,0.000034
2900,0.000004,0.000035
2910,0.000004,0.000032
2920,0.000006,0.000033
2930,0.000006,0.000034
2940,0.000005,0.000028
2950,0.000003,0.000031
2960,0.000006,0.000035
2970,0.000002,0.000033
2980,0.000006,0.000031
2990,0.000006,0.000031
3000,0.000005,0.000026
3010,0.000007,0.000034
3020,0.000004,0.000033
3030,0.000006,0.000035
3040,0.000006,0.000033
3050,0.000006,0.000032
3060,0.000003,0.000022
3070,0.000003,0.000035
3080,0.000003,0.000036
3090,0.000007,0.000047
3100,0.000006,0.000035
3110,0.000006,0.000032
3120,0.000003,0.000033
3130,0.000005,0.000028
3140,0.000006,0.000038
3150,0.000003,0.000031
3160,0.000003,0.000035
3170,0.000005,0.000035
3180,0.000007,0.000029
3190,0.000004,0.000031
3200,0.000007,0.000030
3210,0.000007,0.000041
3220,0.000003,0.000033
3230,0.000006,0.000033
3240,0.000006,0.000035
3250,0.000003,0.000041
3260,0.000003,0.000038
3270,0.000006,0.000038
3280,0.000006,0.000035
3290,0.000006,0.000036
3300,0.000003,0.000032
3310,0.000005,0.000032
3320,0.000006,0.000043
3330,0.000007,0.000049
3340,0.000006,0.000052
3350,0.000005,0.000035
3360,0.000003,0.000022
3370,0.000003,0.000023
3380,0.000004,0.000027
3390,0.000005,0.000017
3400,0.000006,0.000052
3410,0.000003,0.000036
3420,0.000007,0.000034
3430,0.000004,0.000039
3440,0.000007,0.000032
3450,0.000007,0.000037
3460,0.000003,0.000034
3470,0.000003,0.000029
3480,0.000003,0.000034
3490,0.000004,0.000037
3500,0.000006,0.000034
3510,0.000006,0.000035
3520,0.000004,0.000039
3530,0.000005,0.000033
3540,0.000007,0.000036
3550,0.000006,0.000035
3560,0.000008,0.000040
3570,0.000006,0.000038
3580,0.000006,0.000041
3590,0.000007,0.000042
3600,0.000006,0.000035
3610,0.000005,0.000036
3620,0.000006,0.000041
3630,0.000004,0.000038
3640,0.000006,0.000038
3650,0.000006,0.000044
3660,0.000005,0.000035
3670,0.000003,0.000039
3680,0.000006,0.000033
3690,0.000006,0.000045
3700,0.000005,0.000038
3710,0.000005,0.000033
3720,0.000005,0.000048
3730,0.000003,0.000037
3740,0.000003,0.000048
3750,0.000004,0.000037
3760,0.000005,0.000041
3770,0.000004,0.000038
3780,0.000005,0.000043
3790,0.000003,0.000036
3800,0.000006,0.000046
3810,0.000012,0.000036
3820,0.000005,0.000035
3830,0.000003,0.000043
3840,0.000006,0.000036
3850,0.000006,0.000042
3860,0.000005,0.000040
3870,0.000005,0.000035
3880,0.000006,0.000052
3890,0.000005,0.000049
3900,0.000014,0.000042
3910,0.000005,0.000037
3920,0.000006,0.000042
3930,0.000003,0.000041
3940,0.000006,0.000040
3950,0.000006,0.000048
3960,0.000006,0.000047
3970,0.000006,0.000038
3980,0.000006,0.000041
3990,0.000005,0.000043
4000,0.000002,0.000042
4010,0.000003,0.000036
4020,0.000007,0.000044
4030,0.000006,0.000038
4040,0.000006,0.000041
4050,0.000005,0.000040
4060,0.000006,0.000040
4070,0.000006,0.000039
4080,0.000006,0.000040
4090,0.000005,0.000037
4100,0.000003,0.000044
4110,0.000004,0.000049
4120,0.000004,0.000051
4130,0.000006,0.000056
4140,0.000007,0.000043
4150,0.000007,0.000026
4160,0.000002,0.000044
4170,0.000006,0.000060
4180,0.000002,0.000025
4190,0.000006,0.000070
4200,0.000005,0.000021
4210,0.000005,0.000051
4220,0.000006,0.000074
4230,0.000002,0.000044
4240,0.000005,0.000038
4250,0.000005,0.000049
4260,0.000006,0.000060
4270,0.000006,0.000039
4280,0.000002,0.000043
4290,0.000006,0.000036
4300,0.000003,0.000048
4310,0.000005,0.000049
4320,0.000006,0.000045
4330,0.000005,0.000049
4340,0.000003,0.000043
4350,0.000004,0.000053
4360,0.000003,0.000049
4370,0.000006,0.000037
4380,0.000006,0.000043
4390,0.000005,0.000051
4400,0.000005,0.000047
4410,0.000006,0.000044
4420,0.000007,0.000048
4430,0.000005,0.000051
4440,0.000004,0.000044
4450,0.000006,0.000050
4460,0.000003,0.000046
4470,0.000006,0.000046
4480,0.000008,0.000052
4490,0.000005,0.000043
4500,0.000003,0.000047
4510,0.000006,0.000046
4520,0.000003,0.000049
4530,0.000004,0.000055
4540,0.000005,0.000045
4550,0.000005,0.000043
4560,0.000005,0.000055
4570,0.000002,0.000048
4580,0.000007,0.000042
4590,0.000003,0.000035
4600,0.000005,0.000047
4610,0.000005,0.000049
4620,0.000003,0.000041
4630,0.000007,0.000050
4640,0.000004,0.000049
4650,0.000006,0.000051
4660,0.000005,0.000054
4670,0.000004,0.000043
4680,0.000003,0.000058
4690,0.000007,0.000057
4700,0.000005,0.000055
4710,0.000003,0.000045
4720,0.000005,0.000046
4730,0.000004,0.000047
4740,0.000003,0.000048
4750,0.000007,0.000044
4760,0.000003,0.000053
4770,0.000004,0.000054
4780,0.000004,0.000039
4790,0.000004,0.000063
4800,0.000003,0.000049
4810,0.000005,0.000047
4820,0.000004,0.000056
4830,0.000006,0.000046
4840,0.000004,0.000053
4850,0.000003,0.000042
4860,0.000003,0.000048
4870,0.000003,0.000055
4880,0.000008,0.000048
4890,0.000007,0.000050
4900,0.000004,0.000043
4910,0.000003,0.000051
4920,0.000004,0.000053
4930,0.000003,0.000052
4940,0.000007,0.000059
4950,0.000003,0.000052
4960,0.000008,0.000059
4970,0.000007,0.000053
4980,0.000003,0.000060
4990,0.000007,0.000053
5000,0.000004,0.000050
5010,0.000007,0.000051
5020,0.000005,0.000057
5030,0.000006,0.000044
5040,0.000004,0.000045
5050,0.000005,0.000063
5060,0.000005,0.000055
5070,0.000007,0.000062
5080,0.000007,0.000053
5090,0.000006,0.000053
5100,0.000006,0.000055
5110,0.000003,0.000057
5120,0.000004,0.000061
5130,0.000006,0.000054
5140,0.000006,0.000058
5150,0.000006,0.000050
5160,0.000004,0.000063
5170,0.000007,0.000043
5180,0.000004,0.000054
5190,0.000004,0.000053
5200,0.000005,0.000051
5210,0.000007,0.000055
5220,0.000005,0.000060
5230,0.000005,0.000060
5240,0.000006,0.000056
5250,0.000006,0.000059
5260,0.000006,0.000049
5270,0.000005,0.000057
5280,0.000007,0.000049
5290,0.000005,0.000058
5300,0.000006,0.000050
5310,0.000004,0.000060
5320,0.000006,0.000043
